,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
28,Sistema,Sistema,8524025.57,8187243.4,7946959.52,7849152.27,7814624.05,7962442.34,8142581.96,8647754.97,9119895.05,9520997.52,9785554.91,10004065.16,9924456.99,9796882.03,9692754.68,9594715.07,9507581.0,9613464.7,10225241.41,10126666.96,9852147.79,9460691.11,8970885.96,8512063.53,2023-11-25
29,Sistema,Sistema,8119854.94,7830906.0,7597135.61,7429774.44,7308768.03,7219045.67,7068092.95,7372309.87,7737808.75,8063479.54,8375675.06,8655581.66,8786884.45,8763399.61,8687451.05,8661336.65,8614274.32,8845151.04,9675013.55,9768073.38,9731562.81,9491174.36,9065325.95,8601355.06,2023-11-26
0,Sistema,Sistema,9230192.58,8941412.17,8676847.41,8549303.63,8662972.14,9087740.33,9239229.41,9728887.1,10177272.27,10514576.54,10801312.89,11056326.22,11020305.93,11154342.3,11322165.02,11368743.31,11191826.43,10899829.89,11420877.91,11451099.48,11246622.72,10769120.78,9964561.37,9410268.07,2023-09-28
1,Sistema,Sistema,8932552.84,8639849.63,8430639.37,8317987.48,8443501.23,8806273.8,9003166.71,9492235.71,10042651.49,10401770.99,10818322.87,11128354.8,11075001.93,11184892.75,11400359.51,11366676.98,11134657.48,10853430.38,11427851.39,11416142.55,11323799.49,10888723.82,10296354.18,9748023.86,2023-09-29
2,Sistema,Sistema,9174536.29,8865123.06,8648345.31,8498084.5,8611920.88,8681563.76,8898433.24,9404976.45,10023558.81,10414064.64,10683855.59,10860757.12,10850420.84,10729675.2,10628373.1,10572874.19,10453845.85,10466652.85,11101241.18,11015137.51,10708416.91,10347008.04,9877715.26,9393335.43,2023-09-30
3,Sistema,Sistema,8950226.01,8610232.95,8403826.72,8227702.74,8073591.64,7900834.54,7720962.51,8033198.09,8367092.01,8704112.8,9019431.48,9288358.48,9456677.53,9508764.47,9390249.45,9282596.01,9176127.96,9275470.92,10111427.06,10300776.5,10249394.41,10000763.16,9591077.72,9114866.49,2023-10-01
4,Sistema,Sistema,8752303.96,8474788.08,8305288.8,8225550.95,8399216.95,8794239.4,8985702.59,9517538.84,9933470.57,10311229.37,10755056.4,11056525.2,10887303.08,10991351.17,11135927.27,11158332.52,11028119.67,10837974.91,11295972.32,11304741.39,11080672.19,10569514.63,9954613.88,9329426.4,2023-10-02
5,Sistema,Sistema,8913513.49,8626738.51,8444027.71,8352218.29,8525304.41,8843668.81,8961789.41,9386491.15,9858071.47,10175264.07,10529191.92,10821269.72,10748596.56,10901148.17,11029646.14,11001436.61,10894040.46,10654635.63,11158410.11,11174500.59,10951602.24,10536464.43,9875107.55,9286714.6,2023-10-03
6,Sistema,Sistema,8765753.53,8450853.8,8234570.31,8120069.34,8263623.69,8733538.7,8868576.8,9319734.44,9731898.17,9913128.02,10146886.42,10475606.78,10354477.19,10485697.21,10852087.6,10829431.07,10746083.55,10592125.81,11216184.64,11257299.67,11031293.56,10540586.93,9893763.55,9276641.11,2023-10-04
7,Sistema,Sistema,8866800.72,8567877.53,8377666.55,8292161.36,8495636.67,8729281.39,8926528.25,9361143.19,9822887.03,10187660.05,10570728.81,10846564.14,10797770.54,10909946.61,11201221.36,11205802.52,10997548.04,10828839.3,11347376.69,11312659.46,11042721.61,10505763.88,9790056.88,9248584.05,2023-10-05
8,Sistema,Sistema,8807590.74,8505630.77,8323884.79,8270825.77,8426202.51,8657821.77,8877897.29,9351592.37,9851402.57,10135848.52,10547871.39,10798072.95,10772161.07,10756905.78,10878209.25,10900394.04,10744018.63,10600160.29,11087033.25,11070975.12,10870005.36,10432354.0,9866956.47,9287936.34,2023-10-06
9,Sistema,Sistema,8676423.62,8517653.63,8327157.19,8189436.39,8188792.97,8195482.13,8386169.69,8910713.5,9476801.92,9907613.28,10286147.28,10557791.78,10515530.06,10437779.55,10325607.4,10211920.39,10009253.17,9985057.59,10577652.75,10501250.43,10082083.5,9695963.01,9244930.9,8799182.78,2023-10-07
10,Sistema,Sistema,8466556.26,8209164.96,8019224.91,7819490.08,7669122.51,7531946.29,7315746.73,7627935.2,8096325.07,8308162.88,8600153.96,8811718.64,8786595.72,8719941.93,8529510.77,8479604.38,8495944.45,8690943.38,9521835.31,9672999.86,9596275.03,9331000.42,8877917.28,8433910.23,2023-10-08
11,Sistema,Sistema,8081876.24,7813953.58,7662090.14,7609448.91,7774781.79,8011265.05,8387666.21,9093815.34,9711238.02,10053563.35,10483854.7,10823802.71,10831187.58,10866051.54,10991136.97,10974438.89,10843569.22,10558852.11,11024690.24,11011637.63,10722680.8,10311940.71,9719699.97,9118836.93,2023-10-09
12,Sistema,Sistema,8646595.95,8373535.44,8196447.02,8089455.51,8204464.84,8402877.12,8662719.04,9360558.63,9950075.67,10266235.3,10666699.37,10956438.0,10850398.25,10932536.51,11046271.07,11075098.0,10895463.92,10716540.5,11231584.06,11212310.92,10957124.03,10487631.6,9683580.85,9033143.61,2023-10-10
13,Sistema,Sistema,8618183.05,8356426.3,8166910.59,8039008.67,8152846.53,8363997.35,8681974.51,9347507.36,9878834.45,10199458.4,10489513.48,10768208.89,10748939.56,10860957.44,11032210.62,11088027.99,10949087.05,10775503.26,11335320.69,11283524.75,11067283.0,10645192.81,10049523.16,9459950.19,2023-10-11
14,Sistema,Sistema,8997325.38,8675461.02,8465166.34,8356101.17,8482181.08,8646676.26,8894557.54,9585499.08,10162136.32,10533071.58,10925856.96,11240139.49,11164807.08,11153373.82,11310572.81,11322289.48,11178461.16,10998448.23,11378514.96,11296159.52,11005837.9,10594325.22,9952744.35,9422933.79,2023-10-12
