,timestamp,Values_Type,GeneReal
148,2022_Q1_labor_14h,SOLAR,713348.1996153847
149,2022_Q1_labor_14h,TERMICA,3469405.768076923
150,2022_Q1_labor_15h,COGENERADOR,102121.85269230769
151,2022_Q1_labor_15h,EOLICA,27902.62769230769
152,2022_Q1_labor_15h,HIDRAULICA,6315557.992307693
153,2022_Q1_labor_15h,SOLAR,630696.4265384616
154,2022_Q1_labor_15h,TERMICA,3462394.8946153848
155,2022_Q1_labor_16h,COGENERADOR,102383.2046153846
156,2022_Q1_labor_16h,EOLICA,27493.758846153847
157,2022_Q1_labor_16h,HIDRAULICA,6424405.851923077
158,2022_Q1_labor_16h,SOLAR,484086.2223076923
159,2022_Q1_labor_16h,TERMICA,3475373.9888461535
160,2022_Q1_labor_17h,COGENERADOR,103216.77230769231
161,2022_Q1_labor_17h,EOLICA,26337.864230769228
162,2022_Q1_labor_17h,HIDRAULICA,6495345.197692309
163,2022_Q1_labor_17h,SOLAR,242738.1903846154
164,2022_Q1_labor_17h,TERMICA,3503116.164615385
165,2022_Q1_labor_18h,COGENERADOR,101794.48730769231
166,2022_Q1_labor_18h,EOLICA,25575.395
167,2022_Q1_labor_18h,HIDRAULICA,6545759.110769231
168,2022_Q1_labor_18h,SOLAR,23744.48423076923
169,2022_Q1_labor_18h,TERMICA,3559641.923076923
170,2022_Q1_labor_19h,COGENERADOR,103837.01
171,2022_Q1_labor_19h,EOLICA,24059.826538461537
172,2022_Q1_labor_19h,HIDRAULICA,7069081.617692308
173,2022_Q1_labor_19h,SOLAR,12.160769230769231
174,2022_Q1_labor_19h,TERMICA,3641216.248461539
175,2022_Q1_labor_1h,COGENERADOR,109303.4273076923
176,2022_Q1_labor_1h,EOLICA,18618.025
177,2022_Q1_labor_1h,HIDRAULICA,5255823.855384616
178,2022_Q1_labor_1h,SOLAR,0.023076923076923075
179,2022_Q1_labor_1h,TERMICA,3218443.1303846156
180,2022_Q1_labor_20h,COGENERADOR,105691.89884615385
181,2022_Q1_labor_20h,EOLICA,23599.919230769232
182,2022_Q1_labor_20h,HIDRAULICA,7046275.299615384
183,2022_Q1_labor_20h,SOLAR,0.49076923076923074
184,2022_Q1_labor_20h,TERMICA,3621721.336153846
185,2022_Q1_labor_21h,COGENERADOR,106152.77461538462
186,2022_Q1_labor_21h,EOLICA,22988.306538461537
187,2022_Q1_labor_21h,HIDRAULICA,6859998.309615385
188,2022_Q1_labor_21h,SOLAR,0.46115384615384614
189,2022_Q1_labor_21h,TERMICA,3574999.861153846
190,2022_Q1_labor_22h,COGENERADOR,107689.53192307692
191,2022_Q1_labor_22h,EOLICA,21946.330384615383
192,2022_Q1_labor_22h,HIDRAULICA,6561072.899615384
193,2022_Q1_labor_22h,SOLAR,0.4973076923076923
194,2022_Q1_labor_22h,TERMICA,3467386.5153846154
195,2022_Q1_labor_23h,COGENERADOR,106780.17615384616
196,2022_Q1_labor_23h,EOLICA,21342.386538461542
197,2022_Q1_labor_23h,HIDRAULICA,6163280.149615384
198,2022_Q1_labor_23h,SOLAR,0.4807692307692308
199,2022_Q1_labor_23h,TERMICA,3357287.681153846
200,2022_Q1_labor_2h,COGENERADOR,109556.02923076923
201,2022_Q1_labor_2h,EOLICA,17766.357307692306
202,2022_Q1_labor_2h,HIDRAULICA,5030132.601923077
203,2022_Q1_labor_2h,SOLAR,0.023076923076923075
204,2022_Q1_labor_2h,TERMICA,3131867.8676923076
205,2022_Q1_labor_3h,COGENERADOR,110822.98076923077
206,2022_Q1_labor_3h,EOLICA,16699.965384615385
207,2022_Q1_labor_3h,HIDRAULICA,4870461.8084615385
208,2022_Q1_labor_3h,SOLAR,0.04615384615384615
209,2022_Q1_labor_3h,TERMICA,3057123.5296153845
210,2022_Q1_labor_4h,COGENERADOR,111086.53576923077
211,2022_Q1_labor_4h,EOLICA,17018.73769230769
212,2022_Q1_labor_4h,HIDRAULICA,4778268.4896153845
213,2022_Q1_labor_4h,SOLAR,0.0
214,2022_Q1_labor_4h,TERMICA,3021505.910769231
215,2022_Q1_labor_5h,COGENERADOR,110087.39192307692
216,2022_Q1_labor_5h,EOLICA,16364.965
217,2022_Q1_labor_5h,HIDRAULICA,4820169.748846154
218,2022_Q1_labor_5h,SOLAR,0.04615384615384615
219,2022_Q1_labor_5h,TERMICA,3035758.6688461537
220,2022_Q1_labor_6h,COGENERADOR,110324.79884615385
221,2022_Q1_labor_6h,EOLICA,15017.120384615384
222,2022_Q1_labor_6h,HIDRAULICA,4951118.055000001
223,2022_Q1_labor_6h,SOLAR,81.24730769230769
224,2022_Q1_labor_6h,TERMICA,3078333.33
225,2022_Q1_labor_7h,COGENERADOR,109367.48653846154
226,2022_Q1_labor_7h,EOLICA,14409.467307692308
227,2022_Q1_labor_7h,HIDRAULICA,5033250.761153846
228,2022_Q1_labor_7h,SOLAR,54903.155384615384
229,2022_Q1_labor_7h,TERMICA,3118726.8449999997
230,2022_Q1_labor_8h,COGENERADOR,107322.20307692309
231,2022_Q1_labor_8h,EOLICA,14926.528076923076
232,2022_Q1_labor_8h,HIDRAULICA,5280295.684230769
233,2022_Q1_labor_8h,SOLAR,297294.11615384615
234,2022_Q1_labor_8h,TERMICA,3189117.2746153846
235,2022_Q1_labor_9h,COGENERADOR,103958.74730769232
236,2022_Q1_labor_9h,EOLICA,18288.39076923077
237,2022_Q1_labor_9h,HIDRAULICA,5528106.101923077
238,2022_Q1_labor_9h,SOLAR,525130.4926923077
239,2022_Q1_labor_9h,TERMICA,3272777.7796153845
240,2023_Q1_holidays_0h,COGENERADOR,98075.90444444444
241,2023_Q1_holidays_0h,EOLICA,21018.123333333333
242,2023_Q1_holidays_0h,HIDRAULICA,6553508.583333333
243,2023_Q1_holidays_0h,SOLAR,0.0
244,2023_Q1_holidays_0h,TERMICA,1453520.3644444444
245,2023_Q1_holidays_10h,COGENERADOR,95790.22444444445
246,2023_Q1_holidays_10h,EOLICA,17284.76888888889
247,2023_Q1_holidays_10h,HIDRAULICA,6217530.262222222
248,2023_Q1_holidays_10h,SOLAR,236744.37555555554
249,2023_Q1_holidays_10h,TERMICA,1299983.0599999998
250,2023_Q1_holidays_11h,COGENERADOR,96117.58444444445
251,2023_Q1_holidays_11h,EOLICA,17854.47666666667
252,2023_Q1_holidays_11h,HIDRAULICA,6423449.294444445
253,2023_Q1_holidays_11h,SOLAR,271689.3222222222
254,2023_Q1_holidays_11h,TERMICA,1351302.47
255,2023_Q1_holidays_12h,COGENERADOR,93516.17777777778
256,2023_Q1_holidays_12h,EOLICA,20621.355555555558
257,2023_Q1_holidays_12h,HIDRAULICA,6628560.566666666
258,2023_Q1_holidays_12h,SOLAR,276400.72555555555
259,2023_Q1_holidays_12h,TERMICA,1385526.781111111
260,2023_Q1_holidays_13h,COGENERADOR,93281.84222222221
261,2023_Q1_holidays_13h,EOLICA,23180.38888888889
262,2023_Q1_holidays_13h,HIDRAULICA,6708657.587777778
263,2023_Q1_holidays_13h,SOLAR,279747.3466666667
264,2023_Q1_holidays_13h,TERMICA,1419927.1155555556
265,2023_Q1_holidays_14h,COGENERADOR,93764.17888888888
266,2023_Q1_holidays_14h,EOLICA,23136.993333333332
267,2023_Q1_holidays_14h,HIDRAULICA,6712767.552222222
268,2023_Q1_holidays_14h,SOLAR,261318.79444444444
269,2023_Q1_holidays_14h,TERMICA,1417254.2644444443
270,2023_Q1_holidays_15h,COGENERADOR,94844.95666666667
271,2023_Q1_holidays_15h,EOLICA,23258.727777777778
272,2023_Q1_holidays_15h,HIDRAULICA,6625850.9244444445
