load_zone,fuel,period,fuel_cost
Surocciden,GLP,2053,35.30296684744703
Caribe,GASNACIO,2053,15.388877531986317
Caribe,GASIMPOR,2053,15.388877531986317
Caribe,ACPM,2053,24.785627723763447
Caribe,CARBON,2053,2.7489218894639675
Caribe,COMBUSTOLEO,2053,27.94694542101912
Caribe,GAS-YOPAL,2053,15.388877531986317
Caribe,GLP,2053,35.30296684744703
Antioquia,GASNACIO_CCS,2053,15.388877531986317
Nordeste,GASNACIO_CCS,2053,15.388877531986317
Oriental,GASNACIO_CCS,2053,15.388877531986317
Surocciden,GASNACIO_CCS,2053,15.388877531986317
Caribe,GASNACIO_CCS,2053,15.388877531986317
Antioquia,CARBON_CCS,2053,2.7489218894639675
Nordeste,CARBON_CCS,2053,2.7489218894639675
Oriental,CARBON_CCS,2053,2.7489218894639675
Surocciden,CARBON_CCS,2053,2.7489218894639675
Caribe,CARBON_CCS,2053,2.7489218894639675
