GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_unit_size,gen_ccs_energy_load,gen_ccs_capture_efficiency,gen_min_build_capacity,gen_is_cogen,gen_min_load_fraction,gen_startup_om,gen_storage_efficiency
HD-BOLIVAR,Hidro,Water,Caribe,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-BOY-CAS,Hidro,Water,Nordeste,35,0,0,.,1.39,140,0.0987,0.38,500,.,.,.,0,0,.,.,.
HD-CAUCA,Hidro,Water,Surocciden,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-COR-SUC,Hidro,Water,Caribe,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-CQR,Hidro,Water,Surocciden,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-GCM,Hidro,Water,Caribe,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-HTC,Hidro,Water,Surocciden,35,0,0,.,1.39,140,0.0987,0.38,500,.,.,.,0,0,.,.,.
HD-MET-GUAV,Hidro,Water,Oriental,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-NAR-PUT,Hidro,Water,Surocciden,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-NSANT,Hidro,Water,Nordeste,35,0,0,.,1.39,140,0.0987,0.38,500,.,.,.,0,0,.,.,.
HD-SANT-ARA,Hidro,Water,Nordeste,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-VALLE,Hidro,Water,Surocciden,35,0,0,.,1.39,140,0.0987,0.38,500,.,.,.,0,0,.,.,.
BAT_Antioquia,Battery_Storage,Electricity,Antioquia,10,0,0,.,0.01,0,.,.,10,.,.,.,.,0,.,.,0.85
BAT_Nordeste,Battery_Storage,Electricity,Nordeste,10,0,0,.,0.01,0,.,.,10,.,.,.,.,0,.,.,0.85
BAT_Oriental,Battery_Storage,Electricity,Oriental,10,0,0,.,0.01,0,.,.,10,.,.,.,.,0,.,.,0.85
BAT_Surocciden,Battery_Storage,Electricity,Surocciden,10,0,0,.,0.01,0,.,.,10,.,.,.,.,0,.,.,0.85
BAT_Caribe,Battery_Storage,Electricity,Caribe,10,0,0,.,0.01,0,.,.,10,.,.,.,.,0,.,.,0.85
E_Magdalena,Eolica,Wind,Caribe,80,1,0,.,0.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Alejandria,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Andaluci,pv_solar,Solar,Surocciden,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Baranoa,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_BSBolvr503,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_BSBolvr504,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Cabelleros,pv_solar,Solar,Surocciden,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Cerrito,pv_solar,Solar,Surocciden,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_El_Paso,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_ElCopey,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Fundacion,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Girasoles,pv_solar,Solar,Nordeste,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Guayepo,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Medin,pv_solar,Solar,Surocciden,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Monteliban,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Numbana,pv_solar,Solar,Surocciden,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_PetaCesaII,pv_solar,Solar,Nordeste,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_PetaloCesa,pv_solar,Solar,Nordeste,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_PlanetaRic,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_PortonSol,pv_solar,Solar,Antioquia,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Sierpe,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Since,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_SolBolivar,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Sunnorte,pv_solar,Solar,Nordeste,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_TierraLind,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
S_Tolua,pv_solar,Solar,Caribe,80,1,0,.,1.0,0,.,.,.,.,.,.,0,0,.,.,.
