,Date,DemaReal_Sistema,DemaCome_Sistema,Gene_Sistema,GeneIdea_Sistema,timestamp
4481,2023-06-05 17:00:00,10052993.16,10204254.5,10202395.88,10204254.5,2023_Q3_labor_17h
4482,2023-06-05 18:00:00,9703672.3,9841078.89,9841078.89,9841078.89,2023_Q3_labor_18h
4483,2023-06-05 19:00:00,10153005.37,10280145.91,10280145.91,10280145.91,2023_Q3_labor_19h
4484,2023-06-05 20:00:00,10475108.05,10621576.73,10620400.54,10621576.73,2023_Q3_labor_20h
4485,2023-06-05 21:00:00,10265417.4,10420311.12,10420010.2,10420311.12,2023_Q3_labor_21h
4486,2023-06-05 22:00:00,9734653.53,9907605.57,9904239.01,9907605.57,2023_Q3_labor_22h
4487,2023-06-05 23:00:00,9051724.55,9212297.62,9145390.12,9145390.12,2023_Q3_labor_23h
4488,2023-06-06 00:00:00,8550243.67,8688187.0,8686525.23,8688187.0,2023_Q3_labor_0h
4489,2023-06-06 01:00:00,8022416.35,8194208.42,8075457.71,8075457.71,2023_Q3_labor_1h
4490,2023-06-06 02:00:00,7756985.73,7914379.92,7760840.41,7760840.41,2023_Q3_labor_2h
4491,2023-06-06 03:00:00,7566347.04,7719351.06,7484909.07,7549351.06,2023_Q3_labor_3h
4492,2023-06-06 04:00:00,7508390.31,7658273.65,7424217.83,7469273.65,2023_Q3_labor_4h
4493,2023-06-06 05:00:00,7723517.68,7865433.61,7653943.02,7665433.61,2023_Q3_labor_5h
4494,2023-06-06 06:00:00,8124762.67,8255133.25,8184830.77,8195133.25,2023_Q3_labor_6h
4495,2023-06-06 07:00:00,8349670.49,8485553.67,8314833.39,8314833.39,2023_Q3_labor_7h
4496,2023-06-06 08:00:00,8875053.39,9006836.37,9000323.08,9006836.37,2023_Q3_labor_8h
4497,2023-06-06 09:00:00,9293746.27,9429661.73,9429661.73,9429661.73,2023_Q3_labor_9h
4498,2023-06-06 10:00:00,9527302.57,9668173.24,9668173.24,9668173.24,2023_Q3_labor_10h
4499,2023-06-06 11:00:00,9860221.4,10003003.41,10000090.05,10003003.41,2023_Q3_labor_11h
4500,2023-06-06 12:00:00,10134449.64,10280463.03,10279471.31,10280463.03,2023_Q3_labor_12h
4501,2023-06-06 13:00:00,10043513.91,10184198.17,10183340.67,10184198.17,2023_Q3_labor_13h
4502,2023-06-06 14:00:00,10106248.45,10248628.16,10248628.16,10248628.16,2023_Q3_labor_14h
4503,2023-06-06 15:00:00,10227562.2,10376668.87,10376564.1,10376668.87,2023_Q3_labor_15h
4504,2023-06-06 16:00:00,10243880.82,10397011.63,10394015.65,10397011.63,2023_Q3_labor_16h
4505,2023-06-06 17:00:00,10135615.79,10279170.47,10279170.47,10279170.47,2023_Q3_labor_17h
4506,2023-06-06 18:00:00,9852366.59,9980337.17,9980269.32,9980337.17,2023_Q3_labor_18h
4507,2023-06-06 19:00:00,10262750.84,10390004.04,10390004.04,10390004.04,2023_Q3_labor_19h
4508,2023-06-06 20:00:00,10550184.04,10687600.6,10686231.88,10687600.6,2023_Q3_labor_20h
