,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
14,Sistema,Sistema,8508584.89,8246353.23,8058888.5,7936723.54,8043207.79,8244337.02,8560336.95,9217729.95,9747739.76,10065279.77,10347306.05,10619984.78,10608340.67,10722870.41,10892922.52,10948996.38,10811915.86,10637644.9,11192700.71,11146783.71,10941139.62,10518029.31,9930196.01,9352838.83,2023-10-11
15,Sistema,Sistema,8897577.33,8584578.27,8375552.31,8267179.89,8389726.54,8547724.27,8793827.03,9471397.03,10037060.99,10405060.85,10787337.97,11105167.98,11028161.7,11016773.55,11155136.8,11177285.8,11030494.62,10856436.83,11232812.45,11148965.45,10863241.47,10451617.76,9826359.87,9298147.55,2023-10-12
16,Sistema,Sistema,8823564.61,8525829.09,8312894.16,8212004.86,8305796.5,8455257.36,8717186.33,9378238.52,9972444.39,10286985.92,10727231.19,11018470.27,10981468.97,11030523.43,11089638.29,11054896.41,10771078.0,10689400.21,11171353.13,11070430.89,10815822.58,10444749.63,9895523.61,9353731.98,2023-10-13
17,Sistema,Sistema,8904002.67,8618691.76,8382947.02,8230883.42,8238722.47,8219560.73,8255116.95,8696772.91,9296892.29,9646123.17,9987333.52,10184269.59,10138941.51,10025776.08,9764763.98,9601631.65,9516991.9,9647957.17,10287407.07,10196910.68,9885203.43,9668969.56,9213423.12,8766032.65,2023-10-14
18,Sistema,Sistema,8275105.12,7957873.03,7656822.02,7401027.05,7276951.55,7106975.71,6976510.58,7277952.29,7687855.76,8162316.13,8483854.18,8707650.47,8697698.41,8795496.02,8765860.12,8739647.52,8606879.81,8707100.84,9452660.91,9500671.14,9364713.42,9115221.05,8815856.25,8406045.73,2023-10-15
19,Sistema,Sistema,7876138.69,7592042.82,7370169.18,7298911.87,7257886.66,7166470.53,7148787.69,7478265.46,7827785.3,8151653.5,8482665.0,8774091.08,8871968.17,8918566.48,8878052.29,8821318.02,8797598.2,8982625.77,9709219.9,9815365.05,9673298.27,9310306.39,8838645.52,8348150.76,2023-10-16
20,Sistema,Sistema,7802722.54,7570381.33,7467276.52,7491851.56,7748984.77,8200011.02,8578143.71,9169130.11,9675167.27,10007565.07,10448598.8,10534174.11,10432572.47,10601421.18,10807862.35,10708601.3,10671290.53,10532227.13,11062822.41,11025903.14,10792391.14,10389120.57,9728761.27,9220479.05,2023-10-17
21,Sistema,Sistema,8693922.06,8361986.97,8149394.29,8085610.67,8314141.42,8720468.2,8888609.68,9374689.5,9733577.62,10014166.71,10374101.26,10694230.27,10576624.9,10653884.02,10964085.31,11004893.57,10762295.25,10573398.89,11148652.11,11179307.18,10989196.79,10542036.6,9985874.61,9435753.96,2023-10-18
22,Sistema,Sistema,8998436.3,8717515.88,8494309.38,8357619.71,8504466.33,8880577.78,9085653.63,9553128.51,9973312.5,10258000.12,10634081.86,10895640.14,10787530.44,10933530.67,11176480.25,11186765.49,10993619.71,10850625.85,11377671.07,11338428.05,11175533.29,10700077.39,10007569.95,9354019.24,2023-10-19
23,Sistema,Sistema,8719337.07,8392403.37,8173940.82,8065125.39,8197782.26,8459199.2,8754358.77,9266952.77,9696480.27,9920897.89,10192456.1,10410432.98,10351371.28,10470696.73,10695463.45,10740784.7,10560557.11,10489956.48,10955220.15,10869690.35,10530421.08,10045631.56,9488321.28,8999923.75,2023-10-20
24,Sistema,Sistema,8658311.34,8247679.36,8029025.65,7924529.58,7966987.0,8042467.88,8231086.1,8812261.79,9346975.15,9660746.81,9906847.51,10066741.67,9997351.69,9861456.3,9683834.15,9592587.0,9520846.25,9655356.05,10244390.87,10094360.8,9805434.2,9454093.46,8995848.86,8599607.15,2023-10-21
25,Sistema,Sistema,8124102.69,7780019.84,7616068.76,7453456.29,7371756.8,7266288.05,7086809.56,7378913.89,7799926.25,8118929.25,8409840.77,8705069.35,8823038.0,8854358.35,8747668.49,8653053.94,8548653.45,8783058.72,9486436.64,9584683.4,9470428.69,9274126.45,8876031.65,8380666.59,2023-10-22
26,Sistema,Sistema,8027512.12,7780610.01,7606289.95,7589501.51,7756626.18,8218324.77,8429085.05,8888815.74,9437669.5,9767919.94,10159950.67,10495292.29,10471396.87,10633457.37,10811806.25,10789718.07,10664625.59,10548332.4,10967737.68,10918914.52,10664957.77,10147412.35,9544136.25,9009897.67,2023-10-23
27,Sistema,Sistema,8365569.0,8142935.22,8226467.55,8164616.84,8365992.41,8340212.29,8513628.04,8904305.15,9332011.26,9650068.56,9997064.47,10238366.18,10216463.88,10369061.01,10544461.81,10510501.91,10328013.77,10216312.19,10731688.28,10744439.45,10515052.77,9978103.11,9290165.19,8678459.26,2023-10-24
28,Sistema,Sistema,8570279.3,8328799.28,8153735.12,8083656.41,8245861.53,8644899.23,8756088.01,9161905.1,9569597.04,9713402.11,10060111.4,10379985.77,10332666.42,10253623.96,10291464.56,10225985.64,10060240.17,9996187.06,10390038.71,10342223.14,10079751.88,9551100.82,8895197.28,8399477.83,2023-10-25
29,Sistema,Sistema,8028063.21,7738403.17,7530036.28,7513877.82,7754894.92,8277774.56,8470274.12,8936267.39,9181827.56,9451460.3,9760649.45,10071750.84,9958396.95,10050011.46,10212023.5,10146926.43,10001237.48,10090292.78,10403295.05,10354331.2,10077988.08,9682111.43,9177432.66,8671971.75,2023-10-26
