hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
H_Belmonte,2023_Q1_holidays,2.4504200000000003,0.049
H_Belmonte,2023_Q1_labor,1.83719,0.00874
H_Belmonte,2023_Q2_holidays,2.39134,0.00016
H_Belmonte,2023_Q2_labor,2.379715,0.00066
H_Belmonte,2023_Q3_holidays,2.2857399999999997,0.00874
H_Belmonte,2023_Q3_labor,2.195075,0.00099
H_Belmonte,2023_Q4_holidays,2.6246549999999997,0.00412
H_Belmonte,2023_Q4_labor,2.305795,0.00016
H_CampestreC,2023_Q1_holidays,0.72501,0.00561
H_CampestreC,2023_Q1_labor,0.72501,0.00132
H_CampestreC,2023_Q2_holidays,0.7094600000000001,0.00066
H_CampestreC,2023_Q2_labor,0.731695,0.00017
H_CampestreC,2023_Q3_holidays,0.74663,0.00017
H_CampestreC,2023_Q3_labor,0.7537200000000001,0.00017
H_CampestreC,2023_Q4_holidays,0.78177,0.0033
H_CampestreC,2023_Q4_labor,0.78161,0.00017
H_Cantayus,2023_Q1_holidays,2.2453000000000003,0.00117
H_Cantayus,2023_Q1_labor,2.3158000000000003,0.00015
H_Cantayus,2023_Q2_holidays,2.834485,0.03095
H_Cantayus,2023_Q2_labor,2.9010550000000004,0.00014000000000000001
H_Cantayus,2023_Q3_holidays,3.5947750000000003,0.00044
H_Cantayus,2023_Q3_labor,3.5624000000000002,0.00073
H_Cantayus,2023_Q4_holidays,3.55252,0.0020499999999999997
H_Cantayus,2023_Q4_labor,3.42952,0.00029
H_Caracoli,2023_Q2_holidays,3.70592,0.04096
H_Caracoli,2023_Q2_labor,3.70592,0.0009599999999999999
H_Caracoli,2023_Q3_holidays,3.7056,0.013439999999999999
H_Caracoli,2023_Q3_labor,3.7056,0.06336
H_Caracoli,2023_Q4_holidays,3.70176,0.16863999999999998
H_Caracoli,2023_Q4_labor,3.70176,0.0044800000000000005
H_Cascada,2023_Q1_holidays,2.029075,0.53879
