Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,CQTC,REGULADO,22291.12,22114.54,22022.37,21962.3,22009.59,22258.88,22382.63,20676.1,25465.66,28283.76,29293.44,29617.86,29014.51,28878.25,29523.64,29559.02,29382.06,33685.8,37445.0,37639.3,37260.84,33566.52,30040.34,25117.84,2024-05-01
Agente,CSSC,REGULADO,300485.24,304188.9,300411.45,294946.39,291366.61,286282.08,283217.45,291601.6,286126.26,282567.36,280579.19,278622.92,279610.08,281940.82,287707.01,288413.09,287547.48,286884.15,287361.49,294284.29,300909.18,307169.78,309180.49,316064.34,2024-05-01
Agente,EBPC,REGULADO,5981.08,5981.08,5981.08,5981.08,5981.08,5981.08,7381.08,7381.08,7381.08,7381.08,7381.08,7381.08,7381.08,7381.08,7381.08,7381.08,7381.08,7381.08,5981.08,5981.08,5981.08,5981.08,5981.08,5981.08,2024-05-01
Agente,EBSC,REGULADO,7612.22,6275.71,5740.27,5561.02,5783.45,6058.53,8563.58,11861.17,15515.79,17688.85,18880.01,20145.48,19576.37,17517.3,15715.56,14539.05,13529.44,17418.62,14402.3,14966.47,13876.65,12289.01,10339.76,8519.08,2024-05-01
Agente,EDPC,REGULADO,18182.43,18793.36,17902.01,16740.24,17130.83,17371.2,18793.36,19764.84,20445.87,21227.06,21898.08,21607.64,21156.95,21417.35,21868.03,20766.36,21116.89,20826.45,24451.96,22288.67,23780.94,23109.92,21006.72,18442.83,2024-05-01
Agente,EDQC,REGULADO,11862.5,10689.82,9706.22,9656.92,9112.99,8597.63,9706.11,10908.87,14227.4,17660.83,19636.13,20683.98,19557.28,18851.74,18600.18,18782.68,19263.17,22827.25,26898.11,28883.38,26960.12,24278.14,19660.75,16271.56,2024-05-01
Agente,EEPC,REGULADO,26256.36,23279.15,21448.78,20292.22,19985.45,19720.81,18151.3,24944.29,29189.39,33147.27,36239.71,38603.61,39475.77,38734.29,36954.15,36020.69,35391.74,35451.26,43720.02,47522.34,46524.94,43104.72,36868.45,30573.52,2024-05-01
Agente,EGVC,REGULADO,7918.08,7596.38,7374.18,7221.07,7142.03,7073.87,7089.73,7592.56,8162.79,8569.25,9123.19,9943.2,10470.53,10662.91,10886.18,10952.78,10768.05,10906.61,11784.58,11927.89,11680.55,11124.97,10223.6,9334.64,2024-05-01
Agente,EMIC,REGULADO,23616.97,19087.19,21443.23,19951.33,19275.32,18663.11,15627.29,19282.18,20039.43,24544.47,27990.46,29435.13,32634.17,29074.77,28233.88,23708.85,22533.16,23077.52,35427.15,39202.98,38951.09,38097.37,31425.11,19530.83,2024-05-01
Agente,EMPC,REGULADO,1502.0,1479.0,1471.0,1460.0,1452.0,1466.0,1516.0,1587.0,1672.0,1746.0,1802.0,1838.0,1853.0,1847.0,1828.0,1816.0,1836.0,1933.0,1996.0,2021.0,1976.0,1864.0,1728.0,1616.0,2024-05-01
Agente,EMSC,REGULADO,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2024-05-01
Agente,ENBC,REGULADO,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,6830.6,2024-05-01
Agente,ENDC,REGULADO,199842.21,155059.52,131412.77,121581.41,127962.01,132722.91,188254.41,216757.24,320938.16,399976.13,447045.44,470742.59,474437.29,446536.51,405061.3,376321.41,362472.48,520103.59,663555.43,740317.13,698418.77,588266.24,429849.38,303456.26,2024-05-01
Agente,EPMC,REGULADO,229014.9,207285.36,195536.82,199175.14,201134.8,197731.09,224581.82,224130.8,260654.32,284708.85,304110.64,319006.88,330720.93,326226.11,312549.89,302581.05,311077.37,386776.34,412436.6,419655.9,404460.67,364839.28,319109.48,312263.83,2024-05-01
Agente,EPSC,REGULADO,85171.0,76720.0,71385.0,67054.0,64932.0,62904.0,64919.0,64443.0,72257.0,78797.0,84421.0,90103.0,95086.0,92956.0,87128.0,84921.0,83854.0,113550.0,140967.0,155992.0,149856.0,136248.0,116097.0,100019.0,2024-05-01
Agente,EPTC,REGULADO,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,6234.42,6238.42,5899.23,5899.23,5899.23,5899.23,7863.58,9343.58,10371.58,9921.58,8931.58,7558.58,6445.58,2024-05-01
Agente,ESSC,REGULADO,68707.28,64567.64,61343.67,59165.73,59093.53,58905.76,57070.21,58848.35,65227.04,71402.19,75492.75,78515.2,79458.8,78050.29,76794.66,76124.11,74570.16,91413.6,106722.23,113003.33,110492.97,104562.12,95023.73,86439.89,2024-05-01
