Id,Values_MetricId,Values_MetricName,Values_Entity,Values_MaxDays,Values_Type,Values_Url,Values_Filter,Values_MetricUnits,Values_MetricDescription,Date
Sistema,DemaComeReg,Demanda Comercial Mercado Regulado por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.,2024-05-06
Sistema,DemaComeNoReg,Demanda Comercial Mercado No Regulado por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.,2024-05-06
Sistema,DemaComeReg,Demanda Comercial Mercado Regulado por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.,2024-05-06
Sistema,DemaComeNoReg,Demanda Comercial Mercado No Regulado por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.,2024-05-06
Sistema,RestSinAliv,Restricciones sin Alivios por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Es el valor de la generacion de seguridad total del sistema asociada a restricciones por concepto de limitaciones en la capacidad de transporte en las redes del SIN.,2024-05-06
Sistema,DemaComeNoReg,Demanda Comercial por CIIU,CIIU,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.,2024-05-06
Sistema,PrecPromContNoRegu,Precio Promedio Contratos No Regulados por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,[Sumatoria Valor Ventas Contrato cuando el Mercado Destino es No Regulado] / [Sumatoria Ventas Energía Contrato cuando el Mercado Destino es No Regulado],2024-05-06
Sistema,PrecPromContRegu,Precio Promedio Contratos Regulados por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,[Sumatoria Valor Ventas Contrato cuando el Mercado Destino es Regulado] / [Sumatoria Ventas Energía Contrato cuando el Mercado Destino es Regulado],2024-05-06
Sistema,CompContEnerReg,Compras en Contrato Energía Mercado Regulado por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada mediante Contratos de largo plazo,2024-05-06
Sistema,CompContEnerNoReg,Compras en Contrato Energía Mercado No Regulado por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada mediante Contratos de largo plazo,2024-05-06
Sistema,CompContEnerReg,Compras en Contrato Energía Mercado Regulado por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada mediante Contratos de largo plazo,2024-05-06
Sistema,CompContEnerNoReg,Compras en Contrato Energía  Mercado No Regulado por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada mediante Contratos de largo plazo,2024-05-06
Sistema,RentasCongestRestr,Rentas de Congestion para Cubrir Restricciones por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,"La Resolución CREG 060 de 2004 modifica la Resolución CREG 004 de 2003, estableciendo la asignación de las Rentas de Congestión a la demanda total, la cual es definida como la sumatoria de la demanda ",2024-05-06
Sistema,EjecGarantRestr,Ejecución de Garantías por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,"Ejecución de Garantías (Res. CREG 071 de 2006):“Valor (horario, diario y mensual) a favor de los comercializadores por ejecución de garantías del Cargo por Confiabilidad”; la regla de negocio es la Re",2024-05-06
Sistema,SnTIEMerito,Saldo Neto TIE Merito por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Corresponde a los valores netos deficitarios o superavitarios resultantes del ajuste final de Transacciones Internacionales de Electricidad de acuerdo con lo definido en la Resolución 004 de 2003.,2024-05-06
Sistema,SnTIEFueraMerito,Saldo Neto TIE Fuera Merito por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Corresponde a los valores netos deficitarios o superavitarios resultantes del ajuste final de Transacciones Internacionales de Electricidad de acuerdo con lo definido en la Resolución 004 de 2003.,2024-05-06
Sistema,PrecBolsNaciTX1,Precio Bolsa Promedio Aritmético TX1 por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,Promedio aritmético del precio de bolsa nacional de la versión TX1,2024-05-06
Sistema,CompBolsaTIEEner,Compras Bolsa TIE Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE,2024-05-06
Sistema,CompBolsaIntEner,Compras Bolsa Internacional Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,"Energía comprada en la Bolsa para atender la demanda internacional, es decir, las exportaciones a Venezuela. La interconexión con Venezuela se hace a través de las líneas Cuestecitas- Cuatricentenario",2024-05-06
Sistema,VentBolsaTIEEner,Ventas Bolsa TIE Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE,2024-05-06
Sistema,VentBolsaIntEner,Ventas Bolsa Internacional Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía vendida en la Bolsa de Energía para atender la demanda internacional.,2024-05-06
Sistema,CompBolsaTIEEner,Compras Bolsa TIE Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE,2024-05-06
Sistema,CompBolsaIntEner,Compras Bolsa Internacional Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,"Energía comprada en la Bolsa para atender la demanda internacional, es decir, las exportaciones a Venezuela. La interconexión con Venezuela se hace a través de las líneas Cuestecitas- Cuatricentenario",2024-05-06
Sistema,VentBolsaTIEEner,Ventas Bolsa TIE Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE,2024-05-06
Sistema,VentBolsaIntEner,Ventas Bolsa Internacional Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía vendida en la Bolsa de Energía para atender la demanda internacional.,2024-05-06
Sistema,CompBolsaTIEMoneda,Compras Bolsa TIE Moneda por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,COP,Energía comprada en la Bolsa de Energía para atender la demanda TIE,2024-05-06
