Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,2UP2,BAGAZO,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,2024-05-01
RecursoComb,2V25,CARBON,49.77201,49.23646,49.2019,48.51087,48.85638,49.73746,49.94477,50.32484,46.81782,45.05568,44.79654,45.22844,46.10951,45.28026,46.61051,48.73545,25.48203,47.21517,47.50886,47.49158,47.07696,47.66434,49.85839,51.82785,2024-05-01
RecursoComb,2V27,GAS,2.35391,2.35964,2.35964,2.35964,2.35486,2.352,2.35105,1.28005,,,,,,,,,,,,,,,,,2024-05-01
RecursoComb,2WFN,GAS,52.64684,52.76164,52.66597,52.66597,52.41087,52.68511,27.54473,,,0.10842,32.16209,38.83302,38.60343,38.43761,38.71823,39.75139,39.67486,39.41338,8.89033,4.48981,3.66073,33.43122,34.28582,49.89173,2024-05-01
RecursoComb,2XXR,GAS,0.56749,0.56922,0.56452,0.55335,0.46697,0.52514,0.57412,0.57964,0.5725,0.56373,0.55786,0.56619,0.56335,0.56109,0.56262,0.56311,0.56358,0.56354,0.55512,0.5541,0.5571,0.56333,0.56963,0.57267,2024-05-01
RecursoComb,2YB9,GAS,17.7875,17.77274,18.24893,18.19123,18.14776,18.15807,18.33839,16.81582,18.77394,17.54272,16.78407,14.96867,16.11473,17.41425,17.82102,17.30114,17.32539,15.3629,17.85025,17.6996,17.81294,17.7984,17.90254,18.27927,2024-05-01
RecursoComb,2YWY,GAS,0.08468,0.00329,,,,,,,,0.00392,0.11432,0.12153,0.23585,0.18128,0.329,0.11746,0.50856,0.12624,0.11903,0.10883,0.25263,0.0897,0.24573,0.54745,2024-05-01
RecursoComb,3ADA,BIOGAS,,,,,,3.27774,6.93097,7.48132,7.53148,6.08018,1.80154,,,,,,,,,,,,,,2024-05-01
RecursoComb,3AL6,BIOGAS,,,,,,0.22434,,,,,,,,,,,,,,,,,,,2024-05-01
RecursoComb,3AXV,BAGAZO,11.28007,8.68525,10.52773,11.5718,14.22804,11.6281,8.0455,10.30253,12.71311,12.00171,9.02303,12.15525,11.80723,15.19022,14.38158,17.92835,13.50128,10.85528,13.12767,13.29145,13.65482,14.24339,13.1635,12.62099,2024-05-01
