generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
SALVAJINA,SALVAJINA,Hidro,Surocciden,Water,2023,844.0398303436889,1173215.3641777276,0.0,315.0,39208051.28255402,13790700.0,64.18176571675912,0.3058780279566894,,
SALVAJINA,SALVAJINA,Hidro,Surocciden,Water,2024,844.0398303458859,1173215.3641807814,0.0,315.0,39208051.28255402,13790700.0,64.18176571659566,0.3058780279574856,,
SAN CARLOS,SAN CARLOS,Hidro,Antioquia,Water,2023,7873.815861692397,10944604.047752433,0.0,1240.0,154454405.05243468,54287200.0,27.900856834740324,0.7248688928498671,,
SAN CARLOS,SAN CARLOS,Hidro,Antioquia,Water,2024,7873.8158616278,10944604.04766264,0.0,1240.0,154454405.05243468,54287200.0,27.900856834957825,0.7248688928439201,,
SANFRANCISCO,SANFRANCISCO,Hidro,Surocciden,Water,2023,323.405377903703,449533.4752861472,0.0,135.0,16827750.5504609,5910300.0,71.69820173074355,0.27346979359352525,,
SANFRANCISCO,SANFRANCISCO,Hidro,Surocciden,Water,2024,323.40537790560245,449533.4752887874,0.0,135.0,16827750.5504609,5910300.0,71.6982017303306,0.2734697935951314,,
SNMIGUEL,SNMIGUEL,Hidro,Antioquia,Water,2023,284.1034709525263,394903.8246240115,0.0,50.0,6241500.2041688105,2189000.0,31.064048598925936,0.6486380615354481,,
SNMIGUEL,SNMIGUEL,Hidro,Antioquia,Water,2024,284.1034709533119,394903.8246251035,0.0,50.0,6241500.2041688105,2189000.0,31.06404859884389,0.6486380615372416,,
SOGAMOSO,SOGAMOSO,Hidro,Nordeste,Water,2023,4726.389112353979,6569680.86617203,0.0,819.0,102309483.34669629,35855820.0,30.62273984902251,0.6587816069761512,,
SOGAMOSO,SOGAMOSO,Hidro,Nordeste,Water,2024,4726.3891123484755,6569680.866164381,0.0,819.0,102309483.34669629,35855820.0,30.62273984905655,0.6587816069753841,,
S_Aurora,S_Aurora,pv_solar,Caribe,Solar,2023,19.270986121645493,19270.986121645492,0.0,9.9,1182357.038676668,158103.0,70.5584559199615,0.22221053135977917,,
S_Aurora,S_Aurora,pv_solar,Caribe,Solar,2024,19.270986040670103,19270.986040670105,0.0,9.9,1182357.038676668,158103.0,70.55845621224148,0.22221053042606542,,
S_AutEncanto,S_AutEncanto,pv_solar,Caribe,Solar,2023,1.9270987924264806,1927.0987924264805,0.0,0.9900000000000002,118235.70386766682,15810.300000000003,70.55844941342347,0.22221055214548222,,
S_AutEncanto,S_AutEncanto,pv_solar,Caribe,Solar,2024,1.9270986037944295,1927.0986037944294,0.0,0.9900000000000002,118235.70386766682,15810.300000000003,70.55845622208027,0.22221053039463454,,
S_AutGragas,S_AutGragas,pv_solar,Surocciden,Solar,2023,7.287066926871235,7287.066926871235,0.0,4.0,477720.0156269365,63880.0,75.32345840406286,0.20796423878057174,,
S_AutGragas,S_AutGragas,pv_solar,Surocciden,Solar,2024,7.287066896374062,7287.066896374063,0.0,4.0,477720.0156269365,63880.0,75.32345871511468,0.20796423791021865,,
S_AutJeans,S_AutJeans,pv_solar,Antioquia,Solar,2023,2.411301214252201,2411.3012142522007,0.0,1.39,166007.70543036042,22198.3,79.05163631899357,0.19803071632438163,,
S_AutJeans,S_AutJeans,pv_solar,Antioquia,Solar,2024,2.411301409191445,2411.3014091914447,0.0,1.39,166007.70543036042,22198.3,79.05163000898732,0.1980307323339776,,
S_AutLevapan,S_AutLevapan,pv_solar,Surocciden,Solar,2023,9.090615953226644,9090.615953226643,0.0,4.99,595955.7194946033,79690.3,75.32345871511467,0.20796423791021867,,
S_AutLevapan,S_AutLevapan,pv_solar,Surocciden,Solar,2024,9.090615953226642,9090.615953226645,0.0,4.99,595955.7194946033,79690.3,75.3234587151147,0.20796423791021865,,
S_AutPintuco,S_AutPintuco,pv_solar,Antioquia,Solar,2023,2.4459966999924356,2445.9966999924354,0.0,1.41,168396.3055084951,22517.699999999997,79.0516202287131,0.19803075714825893,,
S_AutPintuco,S_AutPintuco,pv_solar,Antioquia,Solar,2024,2.4459962767868717,2445.996276786872,0.0,1.41,168396.3055084951,22517.699999999997,79.05163373318172,0.19803072288504095,,
S_AutSolla,S_AutSolla,pv_solar,Surocciden,Solar,2023,11.6593070341985,11659.3070341985,0.0,6.4,764352.0250030984,102208.0,75.32345871511468,0.20796423791021862,,
S_AutSolla,S_AutSolla,pv_solar,Surocciden,Solar,2024,11.6593070341985,11659.3070341985,0.0,6.4,764352.0250030984,102208.0,75.32345871511468,0.20796423791021862,,
S_BSLI,S_BSLI,pv_solar,Oriental,Solar,2023,37.048173382523416,37048.17338252341,0.0,19.9,2376657.077744009,317803.0,73.72855398088413,0.2125248008451126,,
S_BSLI,S_BSLI,pv_solar,Oriental,Solar,2024,37.048173382523416,37048.17338252341,0.0,19.9,2376657.077744009,317803.0,73.72855398088413,0.2125248008451126,,
S_BSLII,S_BSLII,pv_solar,Oriental,Solar,2023,37.048173382523416,37048.17338252341,0.0,19.9,2376657.077744009,317803.0,73.72855398088413,0.2125248008451126,,
S_BSLII,S_BSLII,pv_solar,Oriental,Solar,2024,37.048173382523416,37048.17338252341,0.0,19.9,2376657.077744009,317803.0,73.72855398088413,0.2125248008451126,,
S_BSLIII,S_BSLIII,pv_solar,Oriental,Solar,2023,37.04817338252341,37048.17338252341,0.0,19.9,2376657.077744009,317803.0,73.72855398088414,0.21252480084511258,,
S_BSLIII,S_BSLIII,pv_solar,Oriental,Solar,2024,37.04817338815286,37048.17338815286,0.0,19.9,2376657.077744009,317803.0,73.72855396983307,0.21252480087740563,,
S_BSLlanos4,S_BSLlanos4,pv_solar,Oriental,Solar,2023,37.396469261192024,37396.46926119203,0.0,19.9,2376657.077744009,317803.0,73.05118908217814,0.21452278092053886,,
S_BSLlanos4,S_BSLlanos4,pv_solar,Oriental,Solar,2024,37.39647009666626,37396.47009666626,0.0,19.9,2376657.077744009,317803.0,73.0511874724831,0.21452278571319072,,
S_BSLlanos5,S_BSLlanos5,pv_solar,Oriental,Solar,2023,33.638030369026296,33638.030369026295,0.0,17.9,2137797.069930541,285863.0,73.05118859046614,0.2145227823845456,,
S_BSLlanos5,S_BSLlanos5,pv_solar,Oriental,Solar,2024,33.63803013946418,33638.03013946419,0.0,17.9,2137797.069930541,285863.0,73.05118908217815,0.21452278092053884,,
S_BayuncaI,S_BayuncaI,pv_solar,Caribe,Solar,2023,5.839692939276404,5839.692939276403,0.0,3.0,358290.0117202024,47910.0,70.55845383379604,0.2222105380242162,,
S_BayuncaI,S_BayuncaI,pv_solar,Caribe,Solar,2024,5.839692719816215,5839.692719816215,0.0,3.0,358290.0117202024,47910.0,70.55845644785677,0.22221052967337188,,
S_Belmonte,S_Belmonte,pv_solar,Surocciden,Solar,2023,9.218139623913189,9218.139623913188,0.0,5.06,604315.8197680747,80808.2,75.32345871511468,0.20796423791021865,,
S_Belmonte,S_Belmonte,pv_solar,Surocciden,Solar,2024,9.218139623913187,9218.139623913186,0.0,5.06,604315.8197680747,80808.2,75.3234587151147,0.2079642379102186,,
S_Cabelleros,S_Cabelleros,pv_solar,Surocciden,Solar,2023,20.950317327075428,20950.317327075427,0.0,11.5,1373445.0449274424,183655.0,75.32345871511468,0.20796423791021862,,
S_Cabelleros,S_Cabelleros,pv_solar,Surocciden,Solar,2024,20.950317327075425,20950.317327075427,0.0,11.5,1373445.0449274424,183655.0,75.3234587151147,0.2079642379102186,,
S_CaracoliI,S_CaracoliI,pv_solar,Caribe,Solar,2024,97.32821191931434,97328.21191931434,0.0,50.0,5971500.195336706,798500.0,70.558456503332,0.22221052949615142,,
S_Carmelo,S_Carmelo,pv_solar,Surocciden,Solar,2023,18.035490568525802,18035.490568525805,0.0,9.9,1182357.038676668,158103.0,75.3234587151147,0.2079642379102186,,
S_Carmelo,S_Carmelo,pv_solar,Surocciden,Solar,2024,18.035490568525805,18035.490568525805,0.0,9.9,1182357.038676668,158103.0,75.32345871511468,0.20796423791021865,,
S_Cauca,S_Cauca,pv_solar,Surocciden,Solar,2023,0.5465300172280555,546.5300172280555,0.0,0.3,35829.00117202024,4791.0,75.32345871511457,0.20796423791021895,,
S_Cauca,S_Cauca,pv_solar,Surocciden,Solar,2024,0.5465300172280538,546.5300172280539,0.0,0.3,35829.00117202024,4791.0,75.32345871511481,0.2079642379102183,,
S_Cerrito,S_Cerrito,pv_solar,Surocciden,Solar,2023,20.95031732707543,20950.317327075427,0.0,11.5,1373445.0449274424,183655.0,75.32345871511468,0.20796423791021865,,
S_Cerrito,S_Cerrito,pv_solar,Surocciden,Solar,2024,20.950317327075428,20950.317327075427,0.0,11.5,1373445.0449274424,183655.0,75.32345871511468,0.20796423791021862,,
S_Cienaguero,S_Cienaguero,pv_solar,Caribe,Solar,2023,17.519078189690756,17519.078189690754,0.0,9.0,1074870.0351606072,143730.0,70.55845632778227,0.22221053005696034,,
